Categorie,Trait
Positif,Altruiste
Positif,Ambitieux
Positif,Aimable
Positif,Authentique
Positif,Bienveillant
Positif,Calme
Positif,Charismatique
Positif,Consciencieux
Positif,Coopératif
Positif,Courageux
Positif,Créatif
Positif,Curieux
Positif,Déterminé
Positif,Discipliné
Positif,Empathique
Positif,Endurant
Positif,Enthousiaste
Positif,Fiable
Positif,Généreux
Positif,Honnête
Positif,Humble
Positif,Indépendant
Positif,Innovant
Positif,Juste
Positif,Loyal
Positif,Méthodique
Positif,Motivé
Positif,Optimiste
Positif,Organisé
Positif,Patient
Positif,Persévérant
Positif,Prudent
Positif,Responsable
Positif,Rigoureux
Positif,Sincère
Positif,Sociable
Positif,Tolérant
Positif,Travailleur
Neutre,Analytique
Neutre,Autonome
Neutre,Compétitif
Neutre,Conservateur
Neutre,Contemplatif
Neutre,Discret
Neutre,Introverti
Neutre,Extraverti
Neutre,Idéaliste
Neutre,Indécis
Neutre,Introspectif
Neutre,Méfiant
Neutre,Minutieux
Neutre,Observateur
Neutre,Perfectionniste
Neutre,Pragmatique
Neutre,Rationnel
Neutre,Réfléchi
Neutre,Réservé
Neutre,Sensible
Neutre,Solitaire
Neutre,Spontané
Neutre,Structuré
Négatif,Agressif
Négatif,Anxieux
Négatif,Arrogant
Négatif,Autoritaire
Négatif,Colérique
Négatif,Désorganisé
Négatif,Égocentrique
Négatif,Envieux
Négatif,Fainéant
Négatif,Impatient
Négatif,Impulsif
Négatif,Inconstant
Négatif,Indiscipliné
Négatif,Instable
Négatif,Intolérant
Négatif,Manipulateur
Négatif,Narcissique
Négatif,Négatif
Négatif,Pessimiste
Négatif,Rigide
Négatif,Susceptible
Négatif,Têtu
Négatif,Vaniteux
